****************************************************
****************************************************
 mstm calculation results
 date, time:
20260301 164523.387 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
8192_bpca.pos
 number spheres
 8192
 length, ref index scale factors
  1.0000000E+00  1.9800000E+00  4.8000000E-01
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.0158674E+01  1.0000000E+00  6.3517362E+01  2.0158674E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   4    393216
 mean sphere Mie extinction, absorption efficiencies
  1.8496E+00  1.1286E+00
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
      45      45      45  5.0000E-01  1.9262E+00
 number of neighbor nodes, node order:
   26    4
****************************************************
 calculation results for run 
           1
 incidence averages collected: sample:
   64
 number iterations, error, solution time 
    57  2.7789E-08  4.8109E+04
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  8.9708E+00  4.2513E+00  4.7195E+00
  down and up hemispherical scattering efficiencies (unpol, par, perp) 
  1.8467E-01  4.5368E+00  1.8543E-01  4.5353E+00  1.8392E-01  4.5383E+00
 azimuthal averaged scattering matrix
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  5.2444E+06 -1.3811E-07  9.9999E-01  9.9999E-01 -2.7934E-08  9.9999E-01
    1.00  4.5263E+06 -2.1259E-04  9.9999E-01  9.9999E-01 -4.4329E-05  9.9999E-01
    2.00  2.8490E+06 -8.8120E-04  9.9999E-01  9.9999E-01 -2.0249E-04  9.9998E-01
    3.00  1.2067E+06 -2.1434E-03  9.9998E-01  9.9998E-01 -5.9148E-04  9.9996E-01
    4.00  2.7191E+05 -4.5713E-03  9.9991E-01  9.9990E-01 -1.7125E-03  9.9983E-01
    5.00  2.2875E+04 -8.4241E-03  9.9887E-01  9.9882E-01 -3.0086E-03  9.9805E-01
    6.00  5.7478E+04 -4.2958E-03  9.9953E-01  9.9953E-01  2.8498E-03  9.9920E-01
    7.00  7.7500E+04 -8.0506E-03  9.9966E-01  9.9964E-01  1.9928E-03  9.9940E-01
    8.00  4.1211E+04 -1.3073E-02  9.9941E-01  9.9930E-01  1.3545E-03  9.9890E-01
    9.00  1.1676E+04 -1.7054E-02  9.9795E-01  9.9756E-01  2.2610E-03  9.9620E-01
   10.00  1.0431E+04 -8.5570E-03  9.9765E-01  9.9729E-01  7.4798E-03  9.9575E-01
   11.00  1.5345E+04 -1.2470E-02  9.9838E-01  9.9818E-01  8.0548E-03  9.9714E-01
   12.00  1.2392E+04 -1.8770E-02  9.9802E-01  9.9782E-01  8.8842E-03  9.9658E-01
   13.00  6.8868E+03 -2.3959E-02  9.9645E-01  9.9608E-01  9.9359E-03  9.9388E-01
   14.00  4.7754E+03 -2.3139E-02  9.9480E-01  9.9402E-01  1.0561E-02  9.9084E-01
   15.00  4.8287E+03 -2.2495E-02  9.9476E-01  9.9381E-01  1.2496E-02  9.9067E-01
   16.00  4.5361E+03 -2.4905E-02  9.9428E-01  9.9351E-01  1.4514E-02  9.9013E-01
   17.00  3.7342E+03 -2.7617E-02  9.9283E-01  9.9242E-01  1.3794E-02  9.8820E-01
   18.00  3.0212E+03 -3.0348E-02  9.9094E-01  9.9062E-01  1.1063E-02  9.8537E-01
   19.00  2.5512E+03 -3.3081E-02  9.8922E-01  9.8852E-01  1.1082E-02  9.8251E-01
   20.00  2.3355E+03 -3.5038E-02  9.8819E-01  9.8723E-01  1.3689E-02  9.8086E-01
   21.00  2.2977E+03 -3.7909E-02  9.8794E-01  9.8695E-01  1.4066E-02  9.8053E-01
   22.00  2.1837E+03 -4.3819E-02  9.8739E-01  9.8593E-01  1.2728E-02  9.7937E-01
   23.00  1.8819E+03 -5.1712E-02  9.8550E-01  9.8304E-01  1.3743E-02  9.7584E-01
   24.00  1.5704E+03 -5.7455E-02  9.8245E-01  9.7930E-01  1.8501E-02  9.7094E-01
   25.00  1.4042E+03 -5.8391E-02  9.7983E-01  9.7708E-01  2.2113E-02  9.6751E-01
   26.00  1.3288E+03 -5.9644E-02  9.7814E-01  9.7585E-01  2.0227E-02  9.6532E-01
   27.00  1.2516E+03 -6.6192E-02  9.7631E-01  9.7334E-01  1.6516E-02  9.6197E-01
   28.00  1.1703E+03 -7.5829E-02  9.7410E-01  9.6971E-01  1.6563E-02  9.5763E-01
   29.00  1.0993E+03 -8.2948E-02  9.7191E-01  9.6658E-01  2.0364E-02  9.5395E-01
   30.00  1.0207E+03 -8.6563E-02  9.6948E-01  9.6409E-01  2.2287E-02  9.5064E-01
   31.00  9.3537E+02 -9.1071E-02  9.6638E-01  9.6123E-01  1.8900E-02  9.4637E-01
   32.00  8.6916E+02 -9.9924E-02  9.6330E-01  9.5776E-01  1.3810E-02  9.4146E-01
   33.00  8.2221E+02 -1.1120E-01  9.6086E-01  9.5393E-01  1.2504E-02  9.3680E-01
   34.00  7.6891E+02 -1.2130E-01  9.5810E-01  9.4939E-01  1.3414E-02  9.3143E-01
   35.00  7.0504E+02 -1.2990E-01  9.5384E-01  9.4383E-01  1.0544E-02  9.2409E-01
   36.00  6.5182E+02 -1.3915E-01  9.4887E-01  9.3800E-01  2.9855E-03  9.1616E-01
   37.00  6.1729E+02 -1.5013E-01  9.4495E-01  9.3256E-01 -2.6282E-03  9.0996E-01
   38.00  5.8723E+02 -1.6122E-01  9.4179E-01  9.2679E-01 -2.0502E-03  9.0453E-01
   39.00  5.5439E+02 -1.7001E-01  9.3795E-01  9.2025E-01  1.3179E-03  8.9763E-01
   40.00  5.2941E+02 -1.7595E-01  9.3392E-01  9.1437E-01  2.8982E-03  8.9020E-01
   41.00  5.1730E+02 -1.8166E-01  9.3117E-01  9.1016E-01  2.6225E-03  8.8467E-01
   42.00  5.0443E+02 -1.9015E-01  9.2888E-01  9.0564E-01  2.2017E-03  8.7951E-01
   43.00  4.7900E+02 -2.0126E-01  9.2503E-01  8.9851E-01  9.5721E-04  8.7129E-01
   44.00  4.4970E+02 -2.1239E-01  9.1981E-01  8.8973E-01 -1.7245E-03  8.6065E-01
   45.00  4.3153E+02 -2.2223E-01  9.1553E-01  8.8246E-01 -3.3261E-03  8.5207E-01
   46.00  4.2313E+02 -2.3312E-01  9.1247E-01  8.7676E-01 -2.1440E-03  8.4615E-01
   47.00  4.1091E+02 -2.4770E-01  9.0822E-01  8.6915E-01 -1.0760E-03  8.3806E-01
   48.00  3.9016E+02 -2.6514E-01  9.0170E-01  8.5795E-01 -2.8268E-03  8.2524E-01
   49.00  3.6946E+02 -2.8145E-01  8.9486E-01  8.4554E-01 -5.3927E-03  8.1105E-01
   50.00  3.5649E+02 -2.9362E-01  8.9000E-01  8.3537E-01 -5.4238E-03  8.0029E-01
   51.00  3.4969E+02 -3.0368E-01  8.8690E-01  8.2771E-01 -3.8092E-03  7.9307E-01
   52.00  3.4360E+02 -3.1631E-01  8.8391E-01  8.1994E-01 -3.1175E-03  7.8567E-01
   53.00  3.3541E+02 -3.3287E-01  8.7986E-01  8.0960E-01 -3.2465E-03  7.7504E-01
   54.00  3.2533E+02 -3.4949E-01  8.7445E-01  7.9656E-01 -3.5490E-03  7.6110E-01
   55.00  3.1505E+02 -3.6161E-01  8.6841E-01  7.8320E-01 -5.0205E-03  7.4676E-01
   56.00  3.0630E+02 -3.6998E-01  8.6329E-01  7.7186E-01 -7.3489E-03  7.3499E-01
   57.00  2.9934E+02 -3.8007E-01  8.5976E-01  7.6159E-01 -7.5471E-03  7.2494E-01
   58.00  2.9281E+02 -3.9527E-01  8.5655E-01  7.4938E-01 -4.3257E-03  7.1283E-01
   59.00  2.8606E+02 -4.1324E-01  8.5230E-01  7.3441E-01 -4.3580E-04  6.9717E-01
   60.00  2.8013E+02 -4.2931E-01  8.4741E-01  7.1895E-01  1.1057E-03  6.8062E-01
   61.00  2.7596E+02 -4.4154E-01  8.4321E-01  7.0523E-01  5.6911E-04  6.6620E-01
   62.00  2.7291E+02 -4.5178E-01  8.3977E-01  6.9305E-01  2.8539E-04  6.5376E-01
   63.00  2.6948E+02 -4.6283E-01  8.3596E-01  6.8070E-01  1.7310E-03  6.4096E-01
   64.00  2.6478E+02 -4.7549E-01  8.3104E-01  6.6671E-01  4.5926E-03  6.2614E-01
   65.00  2.5911E+02 -4.8830E-01  8.2547E-01  6.5087E-01  7.5815E-03  6.0947E-01
   66.00  2.5328E+02 -4.9957E-01  8.2010E-01  6.3399E-01  9.8292E-03  5.9216E-01
   67.00  2.4764E+02 -5.0953E-01  8.1488E-01  6.1647E-01  1.1465E-02  5.7469E-01
   68.00  2.4193E+02 -5.1982E-01  8.0895E-01  5.9780E-01  1.2600E-02  5.5649E-01
   69.00  2.3636E+02 -5.3139E-01  8.0210E-01  5.7800E-01  1.2775E-02  5.3750E-01
   70.00  2.3211E+02 -5.4362E-01  7.9563E-01  5.5842E-01  1.2133E-02  5.1902E-01
   71.00  2.2983E+02 -5.5533E-01  7.9089E-01  5.3977E-01  1.1666E-02  5.0168E-01
