****************************************************
****************************************************
 mstm calculation results
 date, time:
20250312 123707.152 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
lkpos1.pos
 number spheres
 8192
 length, ref index scale factors
  1.0000000E+00  1.6750000E+00  2.1200000E-02
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.0158674E+01  1.0000000E+00  6.5469888E+01  2.0158674E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   4    393216
 mean sphere Mie extinction, absorption efficiencies
  4.4073E-01  6.1492E-02
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
      45      45      45  5.0000E-01  1.9922E+00
 number of neighbor nodes, node order:
   26    4
****************************************************
 calculation results for run 
           1
 incidence averages collected: sample:
   96
 number iterations, error, solution time 
    88  7.5574E-08  1.8840E+03
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  9.3122E+00  1.2084E+00  8.1038E+00
  down and up hemispherical scattering efficiencies (unpol, par, perp) 
  1.0404E+00  7.0694E+00  1.0430E+00  7.0608E+00  1.0378E+00  7.0779E+00
 azimuthal averaged scattering matrix
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  5.7251E+06 -1.1138E-07  9.9993E-01  9.9993E-01 -1.0251E-07  9.9990E-01
    1.00  4.9058E+06 -1.6533E-04  9.9992E-01  9.9992E-01 -1.5845E-04  9.9988E-01
    2.00  3.0195E+06 -5.9780E-04  9.9986E-01  9.9986E-01 -6.6501E-04  9.9978E-01
    3.00  1.2307E+06 -9.7333E-04  9.9963E-01  9.9962E-01 -1.6465E-03  9.9941E-01
    4.00  2.7304E+05  1.5270E-04  9.9828E-01  9.9822E-01 -3.4420E-03  9.9725E-01
    5.00  5.7863E+04 -2.1366E-03  9.9196E-01  9.9161E-01 -3.1207E-03  9.8712E-01
    6.00  1.0876E+05 -1.3660E-02  9.9584E-01  9.9560E-01 -3.0481E-03  9.9331E-01
    7.00  1.1934E+05 -1.8205E-02  9.9629E-01  9.9607E-01 -5.1986E-03  9.9404E-01
    8.00  7.1651E+04 -2.2413E-02  9.9384E-01  9.9365E-01 -4.9984E-03  9.9022E-01
    9.00  3.7993E+04 -2.4651E-02  9.8822E-01  9.8825E-01  5.1275E-03  9.8160E-01
   10.00  3.5401E+04 -2.8175E-02  9.8708E-01  9.8715E-01  1.4069E-02  9.7987E-01
   11.00  3.8935E+04 -3.5062E-02  9.8807E-01  9.8785E-01  1.2635E-02  9.8124E-01
   12.00  3.4052E+04 -4.0567E-02  9.8635E-01  9.8585E-01  1.2938E-02  9.7845E-01
   13.00  2.5249E+04 -4.1524E-02  9.8167E-01  9.8126E-01  1.8616E-02  9.7146E-01
   14.00  1.9563E+04 -3.8386E-02  9.7631E-01  9.7642E-01  2.6353E-02  9.6382E-01
   15.00  1.7823E+04 -3.7474E-02  9.7379E-01  9.7424E-01  2.8921E-02  9.6039E-01
   16.00  1.7061E+04 -3.9870E-02  9.7253E-01  9.7278E-01  2.7965E-02  9.5847E-01
   17.00  1.5209E+04 -4.1688E-02  9.6944E-01  9.6926E-01  2.7609E-02  9.5371E-01
   18.00  1.2737E+04 -4.1204E-02  9.6404E-01  9.6341E-01  2.7648E-02  9.4555E-01
   19.00  1.0936E+04 -4.0426E-02  9.5846E-01  9.5731E-01  2.6503E-02  9.3707E-01
   20.00  9.9805E+03 -4.2264E-02  9.5429E-01  9.5254E-01  2.5113E-02  9.3061E-01
   21.00  9.2044E+03 -4.5302E-02  9.5004E-01  9.4781E-01  2.4796E-02  9.2415E-01
   22.00  8.3527E+03 -4.7000E-02  9.4496E-01  9.4258E-01  2.3934E-02  9.1691E-01
   23.00  7.7127E+03 -4.8973E-02  9.4086E-01  9.3868E-01  2.1309E-02  9.1155E-01
   24.00  7.3776E+03 -5.4735E-02  9.3843E-01  9.3637E-01  1.9722E-02  9.0854E-01
   25.00  7.0395E+03 -6.2791E-02  9.3496E-01  9.3273E-01  2.1581E-02  9.0364E-01
