****************************************************
****************************************************
 mstm calculation results
 date, time:
20250504 174512.518 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
17559_bpca.pos
 number spheres
17559
 length, ref index scale factors
  1.0000000E+00  1.6750000E+00  2.1200000E-02
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.5991526E+01  1.0000000E+00  8.5295868E+01  2.5991526E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   4    842832
 mean sphere Mie extinction, absorption efficiencies
  4.4073E-01  6.1492E-02
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
      54      54      60  5.0000E-01  2.0124E+00
 number of neighbor nodes, node order:
   26    4
****************************************************
 calculation results for run 
           1
 incidence averages collected: sample:
   75
 number iterations, error, solution time 
   101  9.5339E-06  1.6292E+04
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  9.4870E+00  1.4513E+00  8.0356E+00
  down and up hemispherical scattering efficiencies (unpol, par, perp) 
  1.1203E+00  6.9087E+00  1.1148E+00  6.9113E+00  1.1257E+00  6.9062E+00
 azimuthal averaged scattering matrix
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  1.6302E+07 -3.6890E-08  9.9995E-01  9.9995E-01 -7.5903E-08  9.9992E-01
    1.00  1.2588E+07 -5.7733E-05  9.9993E-01  9.9993E-01 -1.1974E-04  9.9990E-01
    2.00  5.4228E+06 -2.5513E-04  9.9985E-01  9.9985E-01 -5.4049E-04  9.9978E-01
    3.00  9.6391E+05 -7.5506E-04  9.9919E-01  9.9920E-01 -1.6277E-03  9.9881E-01
    4.00  1.1771E+05 -1.4217E-03  9.9308E-01  9.9321E-01 -1.6955E-03  9.8967E-01
    5.00  2.8497E+05 -1.8223E-03  9.9708E-01  9.9715E-01 -1.3549E-03  9.9559E-01
    6.00  1.7757E+05 -4.5843E-03  9.9543E-01  9.9552E-01 -1.0123E-03  9.9309E-01
