****************************************************
****************************************************
 mstm calculation results
 date, time:
20250313 020722.945 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
lkpos1.pos
 number spheres
 8192
 length, ref index scale factors
  1.0000000E+00  1.3080000E+00  1.4300000E-08
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.0158674E+01  1.0000000E+00  6.5469888E+01  2.0158674E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   3    245760
 mean sphere Mie extinction, absorption efficiencies
  8.1720E-02  4.0921E-08
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
      45      45      45  5.0000E-01  1.9922E+00
 number of neighbor nodes, node order:
   26    3
****************************************************
 calculation results for run 
           1
 incidence averages collected: sample:
   96
 number iterations, error, solution time 
    21  4.2633E-08  2.3359E+02
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  9.5647E+00  8.9424E-07  9.5647E+00
  down and up hemispherical scattering efficiencies (unpol, par, perp) 
  4.0237E-01  9.1695E+00  4.0215E-01  9.1696E+00  4.0258E-01  9.1695E+00
 azimuthal averaged scattering matrix
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  6.9738E+06 -2.1200E-07  9.9999E-01  9.9999E-01 -8.9137E-08  9.9998E-01
    1.00  6.1758E+06 -3.2778E-04  9.9999E-01  9.9999E-01 -1.3852E-04  9.9998E-01
    2.00  4.2543E+06 -1.3778E-03  9.9999E-01  9.9998E-01 -5.8682E-04  9.9997E-01
    3.00  2.2279E+06 -3.4269E-03  9.9997E-01  9.9997E-01 -1.4214E-03  9.9994E-01
    4.00  8.7042E+05 -7.2722E-03  9.9993E-01  9.9990E-01 -2.4230E-03  9.9984E-01
    5.00  2.9937E+05 -1.3723E-02  9.9980E-01  9.9969E-01 -4.5393E-04  9.9951E-01
    6.00  1.8332E+05 -1.6270E-02  9.9966E-01  9.9948E-01  7.7630E-03  9.9919E-01
    7.00  1.7727E+05 -1.5991E-02  9.9965E-01  9.9945E-01  1.0959E-02  9.9916E-01
    8.00  1.4171E+05 -1.8167E-02  9.9956E-01  9.9931E-01  1.1942E-02  9.9895E-01
    9.00  8.7858E+04 -2.0891E-02  9.9930E-01  9.9893E-01  1.4051E-02  9.9835E-01
   10.00  5.1005E+04 -2.0786E-02  9.9878E-01  9.9829E-01  1.7740E-02  9.9729E-01
   11.00  3.6199E+04 -1.7729E-02  9.9827E-01  9.9775E-01  2.0438E-02  9.9635E-01
   12.00  3.0410E+04 -1.7374E-02  9.9795E-01  9.9743E-01  2.1079E-02  9.9577E-01
   13.00  2.4376E+04 -1.9916E-02  9.9745E-01  9.9688E-01  2.1455E-02  9.9485E-01
   14.00  1.7866E+04 -2.3078E-02  9.9653E-01  9.9588E-01  2.0974E-02  9.9316E-01
   15.00  1.3638E+04 -2.6268E-02  9.9545E-01  9.9475E-01  1.7730E-02  9.9122E-01
   16.00  1.2084E+04 -3.0422E-02  9.9487E-01  9.9411E-01  1.3667E-02  9.9017E-01
   17.00  1.1391E+04 -3.5542E-02  9.9454E-01  9.9370E-01  1.2262E-02  9.8954E-01
   18.00  1.0236E+04 -4.0498E-02  9.9389E-01  9.9294E-01  1.2703E-02  9.8837E-01
   19.00  8.7675E+03 -4.4344E-02  9.9289E-01  9.9178E-01  1.2831E-02  9.8654E-01
   20.00  7.5717E+03 -4.7129E-02  9.9187E-01  9.9050E-01  1.2081E-02  9.8460E-01
   21.00  6.7593E+03 -5.0454E-02  9.9103E-01  9.8928E-01  1.2043E-02  9.8283E-01
   22.00  6.0918E+03 -5.5972E-02  9.9009E-01  9.8792E-01  1.3820E-02  9.8082E-01
   23.00  5.4422E+03 -6.3714E-02  9.8881E-01  9.8618E-01  1.6003E-02  9.7822E-01
   24.00  4.8918E+03 -7.2182E-02  9.8735E-01  9.8425E-01  1.5803E-02  9.7542E-01
   25.00  4.5198E+03 -7.9799E-02  9.8612E-01  9.8251E-01  1.2094E-02  9.7311E-01
